name_road;name_ward;type_ward;name_district;type_district;name_province;type_province;;;;
333 trần bình trọng;Phường 4;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
334 lê quang định;Phường 11;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
36b khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
36c khu c;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
4 làng báo chí;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
444;Bình Trị Đông B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
482/43g nơ trang long;Phường 13;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
5 làng báo chí;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
56;Bình Trưng Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
57;Bình Trưng Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
6;Hiệp Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
606;Hiệp Bình Phước;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
67 nguyễn thiện thuật;Phường 3;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
686/16 2.4m;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
686/33 2.5m;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
686/38 2.2m;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
686/51 2.5m;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
686/56 1.2m;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
702 hồng bàng;Phường 1;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
711 street;Phú Hữu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
711b street;Phú Hữu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
77/21a;Tân Quy;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
alexandre de rhodes;Linh Trung;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
alexandre de rhodes;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
alexandre de rhodes;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
alley cmtt 686/16;Phường 5;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
alley d17 nguyễn cửu phú;Tân Kiên;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
an bình;Phường 5;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
an hạ;Phạm Văn Hai;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
an nhơn;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
an nhơn tây;An Nhơn Tây;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
an phú tây - hưng long;An Phú Tây;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
an phú đông;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 1;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 10;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 12;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 3;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 9;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 9;Thạnh Lộc;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an phú đông 9;An Phú Đông;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
an tôn;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
ap moi my hue;Trung Chánh;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
ap xuan thới đông 1;Xuân Thới Đông;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
ba diểm 12;Bà Điểm;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
ba diểm 9;Bà Điểm;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
ba gia;Phường 7;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
ba tơ;Phường 7;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
ba vân;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
ba vì;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
ba vì;Phường 4;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
ba đình;Phường 8;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bertrand russell;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
binh phu;Tam Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bà diem 10;Bà Điểm;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
bà diểm 3;Bà Điểm;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
bà huyện thanh quan;Phường 7;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
bà huyện thanh quan;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bà lê chân;Tân Định;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bà thiên;Nhuận Đức;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bà điểm 5;Bà Điểm;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
bành văn trân;Phường 7;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu bàng;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 1;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 2;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 3;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 4;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 5;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 6;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu cát 7;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bàu giã;Phước Vĩnh An;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bàu lách;Phạm Văn Cội;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bàu tre;Tân An Hội;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bác ái;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
bác ái;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bát nàn;Bình Trưng Tây;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bình chiểu;Bình Chiểu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bình giã;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bình hưng;Bình Hưng;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bình long;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
bình lợi;Phường 13;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bình phú;Tam Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bình quới;Phường 27;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bình quới;Phường 28;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bình thành;Bình Hưng Hoà B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
bông sao;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bùi bằng đoàn;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
bùi chu;Trung Chánh;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
bùi công trừng;Thạnh Xuân;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
bùi dương lịch;Bình Hưng Hoà B;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
bùi hữu nghĩa;Phường 1;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bùi lâm;Cần Thạnh;Thị trấn;Cần Giờ;Huyện;Hồ Chí Minh;City;;;;
bùi minh trực;Phường 6;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bùi minh trực;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bùi quốc khái;Long Thạnh Mỹ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bùi thanh khiết;Tân Túc;Thị trấn;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bùi thiện ngộ;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bùi thế mỹ;Phường 10;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bùi thị he;Củ Chi;Thị trấn;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bùi thị ngọn;An Nhơn Tây;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bùi thị xuân;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bùi thị xuân;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bùi thị xuân;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bùi thị xuân;Phường 1;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bùi thị xuân;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bùi thị điệt;Nhuận Đức;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bùi tá hán;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bùi viện;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bùi văn ba;Tân Thuận Đông;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
bùi văn ngữ;Thới Tam Thôn;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
bùi văn thêm;Phường 9;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
bùi xuân phái;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
bùi điền;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bùi điền;Phường 5;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bùi đình tuý;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bùi đình tuý;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bùi đình tuý;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bưng ông thoàn;Phú Hữu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bưng ông thoàn;Tăng Nhơn Phú B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bưng ông thoàn;Phú Hữu;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bưng ông thoàn;Tăng Nhơn Phú B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bưng ông thòan;Tăng Nhơn Phú B;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
bạch dương;Hiệp Thành;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
bạch mã;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 15;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 2;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bạch đằng;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bảy hiền;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bế văn đàn;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bến ba đình;Phường 8;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ba đình;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ba đình;Phường 10;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ba đình;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 13;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 13;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 15;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 7;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 15;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 7;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến bình đông;Phường 14;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến cát;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
bến cần giuộc;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến cần giuộc;Phường 13;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến cần giuộc;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến cần giuộc;Phường 13;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến cần giuộc;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến hàm tử;Phường 6;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
bến lò gốm;Phường 7;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến lò gốm;Phường 8;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến lò gốm;Phường 9;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến lò gốm;Phường 5;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến lò gốm;Phường 9;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến lội;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
bến lức - long thành;Bình Chánh;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bến lức - long thành;Hưng Long;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bến lức - long thành;Tân Quý Tây;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bến lức-long thành;Bình Chánh;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bến lức-long thành;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
bến mễ cốc;Phường 15;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến nghé;Tân Thuận Đông;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
bến nguyễn duy;Phường 12;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến nguyễn duy;Phường 9;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến nguyễn duy;Phường 12;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến nguyễn duy;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến phú lâm;Phường 12;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến phú lâm;Phường 9;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
bến phú định;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến than;Hòa Phú;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 1;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 6;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Cầu Ông Lãnh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 9;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 6;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 9;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 2;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 5;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 2;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 5;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 2;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 5;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 12;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến vân đồn;Phường 9;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
bến xóm củi;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến đình;An Nhơn Tây;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
bến ụ cây;Phường 10;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ụ cây;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ụ cây;Phường 10;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ụ cây;Phường 11;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bến ụ cây;Phường 10;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
bờ huệ;An Phú Tây;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bờ kinh;Bình Chánh;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
bờ tuyến;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
bửu long;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
bửu đình;Phường 5;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
c3 bình xuyên;Bình Hưng;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
ca văn thỉnh;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
calmette;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
can trường;Củ Chi;Thị trấn;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
cao bá nhạ;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
cao bá quát;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
cao lỗ;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
cao lỗ;Bình Hưng;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
cao lỗ;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
cao thắng;Phường 17;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
cao thị chính;Phú Thuận;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
cao triều phát;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
caù dun a;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
cherry blossom;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
chiêu anh các;Phường 5;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
chiêu anh các;Phường 1;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
chiến khu;Thạnh Lộc;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
chiến lược;Bình Trị Đông A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
chiến lược;Tân Tạo;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
chiến thắng;Phường 9;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
chiến thắng;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
chiến thắng;Phường 9;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
cho thue phong;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
chu mạnh trinh;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
chu mạnh trinh;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
chu văn an;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
chu văn an;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
chu văn an;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
chu văn an;Phường 26;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
chu văn an;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
chu văn an;Linh Trung;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
chu văn an;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
chung cư lý văn phức;Tân Định;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
chân lý;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
chân lý;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
châu bình;Tam Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
châu thị hóa;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
châu thới;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
châu vĩnh tế;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
chí linh;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
chú ý trẻ em;Đông Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
chấn hưng;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
chế lan viên;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
chử đồng tử;Phường 7;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
cluster 65;Tăng Nhơn Phú A;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
connect cluster 39 and 59 of street 102;Tăng Nhơn Phú A;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
càc nhánh hẻm 1600;Phường 7;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
càu kênh xáng;Phường 1;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
càu suối cái;Linh Trung;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
càu vượt sân bay tân sơn nhất;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
các nhánh hèm 166;Phường 4;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
cách mạng;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
câu trúờng đai;Phường 13;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
câu vượt gò mây;Bình Hưng Hòa;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
cây bàng;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây bàng;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây bàng;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây bàng;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây bàng;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây bàng;Tân Kiên;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
cây da;Tân Phú Trung;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
cây keo;Tam Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
cây trôm;Phước Hiệp;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
cây trắc;Phú Hoà Đông;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
cây điệp;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
cầu phú thuận;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
cô bắc;Cô Giang;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
cô giang;Phường 1;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
cô giang;Cô Giang;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
cô giang;Cầu Ông Lãnh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
